scene	code_index	missing	jp_text	zh_text	source
SEEN0414	1116	$S065	$S065どぉんっ！	咚！	pc-safe:global-exact-unique
SEEN0415	3140	$S000,0|$W(c31)	$W(c31)$S000,0うわあああああああああああぁぁぁぁぁぁぁぁぁーーーーーーーー…	呜啊啊啊啊啊啊啊啊啊啊啊啊──────…	pc-safe:aggressive-between-anchors
SEEN0422	1167	＊Ａ	`春原@「＊Ａになんて、見せてやるもんかぁーっ！」	`春原@「今后再也不给你看了！」	pc-safe:same-scene-sequence
SEEN0422	1702	＊Ａ	`春原@「＊Ａになんて、見せてやるもんかぁーっ！」	`春原@「今后再也不给你看了！」	pc-safe:same-scene-sequence
SEEN0422	2185	＊Ａ	`春原@「＊Ａになんて、見せてやるもんかぁーっ！」	`春原@「今后再也不给你看了！」	pc-safe:same-scene-sequence
SEEN0425	4892	％Ｂ	`％Ｂ@「何を得意げに言ってやがる…」	`亾Ｂ@「你在洋洋得意地说些什么啊…」	pc-safe:same-scene-sequence
SEEN0425	4895	％Ｂ	`％Ｂ@「素人同然の奴ら、たかが三人を負かしただけだろうが…」	`亾Ｂ@「你只不过是打败了完全是门外汉的三个人而已…」	pc-safe:same-scene-sequence
SEEN0425	4899	％Ｂ	`％Ｂ@「素人同然の奴ら、たかが二人を負かしただけだろうが…」	`亾Ｂ@「你只不过是打败了完全是门外汉的两个人而已…」	pc-safe:same-scene-sequence
SEEN0425	4904	％Ｂ	`％Ｂ@「馬鹿を言うな…」	`亾Ｂ@「别说蠢话了…」	pc-safe:same-scene-sequence
SEEN0425	4906	％Ｂ	`％Ｂ@「こっちはもう、途中から覚えてねぇぐらい、屍を積み上げてきてんだぜ…」	`亾Ｂ@「我早已经制造出了无数的尸体，连我自己都记不清有几个了…」	pc-safe:same-scene-sequence
SEEN0425	4913	％Ｂ	`％Ｂ@「何を寝ぼけたことを…」	`亾Ｂ@「你在说什么梦话…」	pc-safe:same-scene-sequence
SEEN0425	4915	％Ｂ	`％Ｂ@「全部で２５人だ」	`亾Ｂ@「一共有２５人」	pc-safe:same-scene-sequence
SEEN0425	4921	％Ｂ	`％Ｂ@「何を寝ぼけたことを…」	`亾Ｂ@「你在说什么梦话…」	pc-safe:same-scene-sequence
SEEN0425	4923	％Ｂ	`％Ｂ@「全部で２４人だ」	`亾Ｂ@「一共有２４人」	pc-safe:same-scene-sequence
SEEN0425	4928	％Ｂ	`％Ｂ@「商店街で店を構えている俺の知り合いは、ほとんどが参加してる」	`亾Ｂ@「我认识的在商店街开店的人，基本上都参加了」	pc-safe:same-scene-sequence
SEEN0425	4930	％Ｂ	`％Ｂ@「てめぇらのような昨日、今日の素人じゃねぇ…」	`亾Ｂ@「他们可不是像你们这样的初学者…」	pc-safe:same-scene-sequence
SEEN0425	4936	％Ｂ	`％Ｂ@「そんな奴らの屍を後に、俺は今、ここに立ってんだぜ？」	`亾Ｂ@「扔下他们的尸体，我现在才站在这里的啊」	pc-safe:same-scene-sequence
SEEN0425	4946	％Ｂ	`％Ｂ@「てめぇとは背負ってるものの桁が違う…」	`亾Ｂ@「我和你们所背负的重担根本就不是一个级别的…」	pc-safe:same-scene-sequence
SEEN0425	4952	％Ｂ	`％Ｂ@「まぁ、てめぇも素人のくせによくやってきたよ…」	`亾Ｂ@「不过，你虽然是个外行，但却干得不错啊…」	pc-safe:same-scene-sequence
SEEN0425	4954	％Ｂ	`％Ｂ@「最後は、正々堂々と勝負してやろう」	`亾Ｂ@「最后，就堂堂正正地与你决一胜负吧」	pc-safe:same-scene-sequence
SEEN0425	5003	％Ｂ	`％Ｂ@「ふん…意味ねぇよ、んなもんっ」	`亾Ｂ@「哼…那种东西是没有意义的！」	pc-safe:same-scene-sequence
SEEN0425	5076	％Ｂ	`％Ｂ@「勝負あったな…」	`亾Ｂ@「胜负已定了…」	pc-safe:same-scene-sequence
SEEN0425	5118	％Ｂ	`％Ｂ@「ふん…」	`亾Ｂ@「哼…」	pc-safe:same-scene-sequence
SEEN0425	5120	％Ｂ	`％Ｂ@「俺はもう行くが…」	`亾Ｂ@「我也该走了…」	pc-safe:same-scene-sequence
SEEN0425	5136	％Ｂ	`％Ｂ@「罰ゲームのこと、ちゃんと覚えておけよ、てめぇら」	`亾Ｂ@「你们好好记着整人游戏的事吧」	pc-safe:same-scene-sequence
SEEN0425	5246	％Ｂ	`％Ｂ@「…やるじゃねぇか」	`亾Ｂ@「…干得不错啊」	pc-safe:same-scene-sequence
SEEN0425	5248	％Ｂ	`％Ｂ@「引き分けだ…」	`亾Ｂ@「平手了…」	pc-safe:same-scene-sequence
SEEN0425	5292	％Ｂ	`％Ｂ@「かっ…別に地面に落ちようが、包装されてたんだな…」	`亾Ｂ@「唉…即使掉在地面上，也是已经包装了的…」	pc-safe:same-scene-sequence
SEEN0425	5294	％Ｂ	`％Ｂ@「つい癖で、拾っちまったぜ…」	`亾Ｂ@「最后还是凭着习惯捡起来了…」	pc-safe:same-scene-sequence
SEEN0425	5336	％Ｂ	`％Ｂ@「俺のほうが人数を倒してるんだ。俺の勝ちに決まってるだろう」	`亾Ｂ@「我打倒的人数比较多，当然是我赢了」	pc-safe:same-scene-sequence
SEEN0425	5354	％Ｂ	`％Ｂ@「なんだ、文句あんのか、この野郎」	`亾Ｂ@「怎么了，你这家伙有意见吗」	pc-safe:same-scene-sequence
SEEN0425	5388	％Ｂ	`％Ｂ@「そうだな…」	`亾Ｂ@「唔…」	pc-safe:same-scene-sequence
SEEN0425	5390	％Ｂ	`％Ｂ@「最後は相打ちだったしな…」	`亾Ｂ@「最后也是平手了啊…」	pc-safe:same-scene-sequence
SEEN0425	5392	％Ｂ	`％Ｂ@「そいつに倒された奴らは免除してやろう」	`亾Ｂ@「被他打败的家伙就免去处罚吧」	pc-safe:same-scene-sequence
SEEN0425	5432	％Ｂ	`％Ｂ@「おぅっと、先公の奴らが出てきやがった。俺は逃げるぜ」	`亾Ｂ@「哇，老师们走出来了。我就先逃了」	pc-safe:same-scene-sequence
SEEN0425	5434	％Ｂ	`％Ｂ@「じゃあなっ」	`亾Ｂ@「后会有期！」	pc-safe:same-scene-sequence
SEEN1423	1384	＊Ａ	`風子@「大丈夫です。＊Ａさんよりかは、しっかりしています」	`风子@「不要紧。至少也会比你中用」	pc-safe:same-scene-sequence
SEEN1426	3016	＊Ａ	`古河@「＊Ａさんも、一緒に手伝ってくれると、わたしはうれしいです」	`古河@「可以和我一起帮忙吗？」	pc-safe:same-scene-sequence
SEEN1428	3353	％Ａ	％Ａにとっては、ショックなことだったのだろう。	这对她来说，是相当大的打击吧。	pc-safe:same-scene-sequence
SEEN1430	467	$S065	$S065あああぁぁぁーーーーっ！」	啊啊啊啊啊啊─────！	pc-safe:aggressive-between-anchors
SEEN1430	897	$S065	$S065あああぁぁぁーーーーーっ！」	啊啊啊啊啊啊─────！	pc-safe:aggressive-between-anchors
SEEN1430	969	$S065	$S065あああぁぁぁーーーーーっ！」	啊啊啊啊啊啊─────！	pc-safe:aggressive-between-anchors
SEEN1513	819	％Ａ	今はもう…％Ａが出てくることもない古河パンの入り口。	我注视着古河面包店的入口。	pc-safe:same-scene-sequence
SEEN3425	571	$S040	`杏@$S040（………）	`杏@	pc-safe:fuzzy-between-anchors-ge096
SEEN3426	360	$S081|$SU000	$S081$SU000ズビビビビっ…	突突突突…	pc-safe:same-scene-sequence
SEEN3507	2093	＊Ａ	`春原@「僕は杏と一緒にいる＊Ａの方が、自然体な気がするんだ」	`春原@「我觉得你和杏在一起的话，会般配很多的」	pc-safe:same-scene-sequence
SEEN3507	2207	＊Ａ	`春原@『僕は杏と一緒にいる＊Ａの方が、自然体な気がするんだ』	`春原@『我觉得你和杏在一起的话，会般配很多的』	pc-safe:same-scene-sequence
SEEN5430	11606	＊Ｂ	`宮沢@「＊Ｂさんは、何を考えていましたか？」	`宫泽@「你在考虑些什么吗？」	pc-safe:same-scene-sequence
