scene	code_index	zh_text	option_count
SEEN0414	1577	录点什么上去$d算了	2
SEEN0414	1606	不玩了。太傻…$d随便说几句	2
SEEN0415	947	逃课$d认认真真上课	2
SEEN0415	2212	逃课$d认认真真上课	2
SEEN0415	3220	到庭院去$d不去管她	2
SEEN0415	3580	是时候离开了$d再继续谈话	2
SEEN0415	4214	在意$d不在意	2
SEEN0415	5256	向她搭话$d不去管她	2
SEEN0416	72	昨天的女孩…$d过去的事情…	2
SEEN0416	651	去$d不去	2
SEEN0416	977	逃课$d还是算了	2
SEEN0416	1182	跑去买$d用不着那样做	2
SEEN0416	2607	帮忙$d让她一个人做	2
SEEN0417	1022	跟着他去$d不去管他	2
SEEN0417	2043	跟着他去$d不去管他	2
SEEN0417	2636	逃课$d还是算了吧	2
SEEN0417	3948	出去找找她$d继续等下去	2
SEEN0417	3978	去隔壁的教室看一下$d到其它的地方去找找看	2
SEEN0417	4073	在校内闲逛$d去校外闲逛	2
SEEN0417	4121	睡一觉$d去校外闲逛	2
SEEN0417	4288	向她搭话$d目送她离去	2
SEEN0418	738	图书室$d回教室去	2
SEEN0418	752	空教室$d回教室去	2
SEEN0418	766	图书室$d空教室$d回教室去	3
SEEN0418	803	到那里去睡$d还是回教室去吧	2
SEEN0418	1167	向她搭话$d目送她离去	2
SEEN0419	695	去旧校舍$d直接回家	2
SEEN0419	732	去图书室$d去社团活动室$d去资料室	3
SEEN0419	758	去图书室$d去社团活动室$d回家	3
SEEN0420	168	跟他去$d不理他	2
SEEN0420	505	找别的漫画看$d玩玩看	2
SEEN0421	94	认认真真地起床上学$d迟点再去吧	2
SEEN0421	969	不去了$d还是去美佐枝的房间	2
SEEN0421	991	不去了$d还是去美佐枝的房间	2
SEEN0422	208	问候说：你好$d先摆出一副找到了我的样子$d先作自我介绍	3
SEEN0422	1405	帮忙$d不帮忙	2
SEEN0422	1837	帮忙$d不帮忙	2
SEEN0423	374	问候说：你好$d先摆出一副找到了我的样子$d先作自我介绍	3
SEEN0423	578	嘴里先含上一口水再说$d每句话句尾都加上句『还有马桶盖』$d学一石堂那样说话	3
SEEN0423	939	就像在站台分别的恋人那样$d就像牺牲生命拯救了地球的宇航员那样$d就像被回想场面占掉了好几卷的漫画那样	3
SEEN0423	1202	啊$d对不起，不是	2
