id	jp_text	en_text	zh_text	option_count	first_scene	first_code_index
1	上書きで何か吹き込む$dやめておく	Record your own voice over it$dJust leave it there	记录你自己的声音$d别管了	2	SEEN0414	1577
2	やめた。アホらし…$d適当に思いついた言葉を発する	Forget it. This is stupid...$dJust say whatever comes to mind	别管了 这太蠢了...$d随便你怎么说	2	SEEN0414	1606
3	サボる$d受ける	Skip class$dSit through class	跳过类$d坐过课	2	SEEN0415	947
4	中庭に下りる$d放っておく	Go down to the courtyard$dDo nothing	下到院子里来$d无所事事	2	SEEN0415	3220
5	もう立ち去る$dまだ話を続ける	Just leave$dKeep talking	走开$d继续说	2	SEEN0415	3580
6	気になる$d気にならない	I feel concerned$dI don't feel concerned	我觉得很担心$d我不担心	2	SEEN0415	4214
7	話しかける$d放っておく	Talk to her$dDo nothing	跟她说话$d无所事事	2	SEEN0415	5256
8	昨日の女の子のこと…$d昔のこと…	That girl from yesterday...$dMy own past...	昨天那个女孩...$d我的过去...	2	SEEN0416	72
9	行く$d行かない	Go with Sunohara$dStay	跟着春原$d留下来	2	SEEN0416	651
10	サボる$dやめておく	Skip class$dDon't skip	跳过类$d别跳过	2	SEEN0416	977
11	走って買いにいく$dそこまですることはない	Run to buy a sandwich$dNo reason to make that much of an effort	跑去买三明治$d没必要这么努力	2	SEEN0416	1182
12	手伝う$dひとりでやらせる	Help$dMake her do it alone	帮助$d让她自己来	2	SEEN0416	2607
13	ついていく$d放っておく	Follow him$dDo nothing	跟着他$d无所事事	2	SEEN0417	1022
14	探しに出る$d待ち続ける	Go look for her$dKeep waiting	去寻找她$d继续等	2	SEEN0417	3948
15	隣の教室を覗いてみる$d別の場所を探す	Look in the class next door$dCheck somewhere else	看看隔壁的课$d找别的地方	2	SEEN0417	3978
16	校内で暇を潰す$d校外で暇を潰す	Waste time inside school$dWaste time outside school	学校里的浪费时间$d校外浪费时间	2	SEEN0417	4073
17	寝ていく$d校外で暇を潰す	Sleep$dWaste time outside school	睡觉$d校外浪费时间	2	SEEN0417	4121
18	話しかける$d見送る	Talk to her$dWatch as she leaves	跟她说话$d看着她离开	2	SEEN0417	4288
19	図書室$d教室に戻る	The library$dReturn to the classroom	图书馆$d回到教室来	2	SEEN0418	738
20	空き教室$d教室に戻る	An empty classroom$dReturn to the classroom	一个空教室$d回到教室来	2	SEEN0418	752
21	図書室$d空き教室$d教室に戻る	The library$dAn empty classroom$dReturn to the classroom	图书馆$d一个空教室$d回到教室来	3	SEEN0418	766
22	寝にいく$dやっぱり教室に戻る	Go sleep$dReturn to the classroom after all	睡觉$d毕竟还是回到教室	2	SEEN0418	803
23	旧校舎へ$d真っ直ぐ帰る	Go to the old school building$dGo straight home	去旧校舍$d直接回家来	2	SEEN0419	695
24	図書室へ$d部室へ$d資料室へ	To the library$dTo the club rooms$dTo the reference room	去图书馆$d去俱乐部房间$d去参考室	3	SEEN0419	732
25	図書室へ$d部室へ$d帰る	To the library$dTo the club rooms$dGo home	去图书馆$d去俱乐部房间$d回家来吧	3	SEEN0419	758
26	ついていく$d無視	Follow him$dIgnore him	跟着他$d别理他	2	SEEN0420	168
27	漫画を探す$d遊んでみる	Find some manga$dTry reading the adventure book	找些漫画$d试看冒险书	2	SEEN0420	505
28	真面目に起きていく$d遅刻していく	Wake up like a good student$dBe late	醒来像一个好学生$d迟到了	2	SEEN0421	94
29	やめておく$dあくまで美佐枝さんの部屋へ	Don't go$dPersist and go to Misae-san's room	别走$d坚持下去美佐枝-先生的房间	2	SEEN0421	969
30	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	Say hello$dReact to finding me$dStart by introducing yourself	打个招呼$d找到我的反应$d从自我介绍开始	3	SEEN0422	208
31	手伝う$d手伝わない	Help$dDon't help	帮助$d别帮	2	SEEN0422	1405
32	水を口に含んでから言え$d常に語尾に『それと便座カバー』と付けろ$dいっこくどう風に言え	Say it with water in your mouth$dAlways add ❝and a toilet seat cover❞ to the end of your sentences$dSay it like Ikkokudou	"嘴里说水$d总是在句尾加上""和厕所座位盖""$d像伊克库杜那样说"	3	SEEN0423	578
33	ホームで離ればなれになる恋人のように$d命を捨てて地球を救う宇宙飛行士のように$d回想シーンだけで数巻にも及ぶ漫画のように	Act like we're lovers parting ways at a train station$dAct like an astronaut about to sacrifice himself to save Earth$dAct like a manga that spends multiple volumes on one flashback	假装我们是情侣 在火车站分手$d装成一个即将牺牲自己拯救地球的宇航员$d装得像个漫画,在一次闪回上花了很多卷	3	SEEN0423	939
34	ああ$d悪いが、違う	Yeah$dSorry, but no	对$d对不起,但不行	2	SEEN0423	1202
35	眠る$d気分転換	Sleep$dGo for a walk	睡觉$d去散个步	2	SEEN0423	1491
36	呼び止める$d放っておく	Call out to it$dDo nothing	喊出来$d无所事事	2	SEEN0423	1587
37	代わりに出る$d出ない	Talk to her in Sunohara's place$dDon't talk to her	跟她谈谈春原地点$d别跟她说话	2	SEEN0423	2911
38	逃げる$d引き受ける	Run$dAccept your fate	运行$d接受你的命运	2	SEEN0424	2304
39	呼びとめる$d放っておく	Call out to it$dDo nothing	喊出来$d无所事事	2	SEEN0424	2697
40	する$dしない	Play$dDon't play	播放$d别玩了	2	SEEN0424	3297
41	引き金を引いていた$d忠告をしていた	I pull the trigger.$dI warn her.	我扣动扳机。$d我警告过她	2	SEEN0425	1367
42	勝負はあくまで冷徹に$d可哀想だから止めてやる	All's fair in love and war$dStop him because you feel bad	爱情和战争是公平的$d拦住他,因为你觉得不好	2	SEEN0425	2634
43	ふたりで学食で食べる$d春原に買いに行かせる$d食べない	Eat in the cafeteria together$dMake Sunohara go buy things$dDon't eat	一起在餐厅吃饭$d制作春原去买东西$d别吃东西	3	SEEN0425	3552
44	グラウンド$d体育館$d職員室	The athletic grounds$dThe gym$dThe teachers' room	运动场$d体育馆$d老师的房间	3	SEEN0425	4160
45	グラウンド$d職員室	The athletic grounds$dThe teachers' room	运动场$d老师的房间	2	SEEN0425	4464
46	グラウンド$d体育館	The athletic grounds$dThe gym	运动场$d体育馆	2	SEEN0425	4684
47	訊いてみる$d興味ない	Ask them what's wrong$dI'm not interested	问他们怎么了$d我没兴趣	2	SEEN0426	589
48	いける$d却下	She'll work$dNo way	她会工作的$d不会吧	2	SEEN0428	1705
49	止める$d放っておく	Stop him$dDo nothing	拦住他$d无所事事	2	SEEN0428	2501
50	一芝居打つ$d見送る	Put on an act$dWatch him leave	演戏$d看着他走	2	SEEN0428	3530
51	告白する$d見送る	Confess$dWatch her walk away	认罪$d看着她走开	2	SEEN0555	26
52	告白する$d様子見する	Confess$dKeep watching	认罪$d继续看	2	SEEN0555	45
53	振り払う$d抱きしめる	Shake her off$dHug her	摇开她$d抱紧她	2	SEEN0555	97
54	スティーブといく$dひとりでいく	Go with Steve$dGo by yourself	跟史提夫一起走,好吗?$d你一个人去	2	SEEN0555	131
55	スティーブに任せる$d自分で戦う	Leave it to Steve$dFight on your own	交给史蒂夫$d单打独斗	2	SEEN0555	160
56	開ける$d無視	Open it$dIgnore it	打开$d别管了	2	SEEN0555	191
57	真っ直ぐ進む$d左に$d右に	Go straight$dGo left$dGo right	直来直去$d左转$d右转	3	SEEN0555	202
58	抱きしめる$d振り払う	Hug him$dShake him off	抱紧他$d摇开他	2	SEEN0555	260
59	一緒にいく$d振り払う	Go with her$dShake her off	跟着她$d摇开她	2	SEEN0555	296
60	リトライ$dもうやめる	Retry$dGive up	重试$d放弃吧	2	SEEN0555	425
61	暇だから、鼻からジュースを飲ませてみる$d待ち続ける	I'm bored. I should try to make her drink juice through her nose.$dKeep waiting	我很无聊。 我应该让她从鼻子里喝果汁$d继续等	2	SEEN1001	0
62	悪戯をする$d待ち続ける	Time for a prank$dKeep waiting	是时候恶作剧了$d继续等	2	SEEN1002	0
63	悪戯をする$d置いていく	Time for a prank$dJust leave her here	是时候恶作剧了$d别管她了	2	SEEN1003	138
