scene	code_index	source	jp_text	en_text	zh_text	original_controls	pc_status	match_kind
SEEN0414	20	pc-safe	この町は嫌いだ。	I hate this town.	我讨厌这座小镇。		equal-segment	same-scene-sequence
SEEN0414	23	pc-safe	忘れたい思い出が染みついた場所だから。	There's just too many memories here I'd rather forget.	因为这里满是想要忘却的回忆。		equal-segment	same-scene-sequence
SEEN0414	43	pc-safe	毎日学校に通い、授業を受け、友達とだべり、そして帰りたくもない家に帰る。	Every day is the same. Go to school, see friends, come home to a place I can't stand...	每天去学校，听听课，与朋友们闲聊，然后回到根本不想回的家里。		equal-segment	same-scene-sequence
SEEN0414	45	pc-safe	何も新しいことなど始まらない。	Nothing new ever happens.	没有任何新鲜的事物。		equal-segment	same-scene-sequence
SEEN0414	47	pc-safe	`＊Ｂ@（こうしていて、何かが変わるんだろうか…）	`＊Ｂ@(I wonder if anything will change if I keep living like this...)	`＊Ｂ@（这样下去，会有什么改变吗…）		equal-segment	same-scene-sequence
SEEN0414	49	pc-safe	`＊Ｂ@（俺の生活は、いつか変わるんだろうか…）	`＊Ｂ@(I wonder if my life will ever change...)	`＊Ｂ@（我的生活，今后会有什么改变吗…）		equal-segment	same-scene-sequence
SEEN0414	51	pc-safe	やたらと自然が多い町。	There's nature almost everywhere you look around here.	这是一座自然景色较多的小镇。		equal-segment	same-scene-sequence
SEEN0414	53	pc-safe	山を迂回しての登校。	I guess today's just another day of trekking through the mountains to get to school.	上学时需要绕山而行。		equal-segment	same-scene-sequence
SEEN0414	57	pc-safe	すべての山を切り開けば、どれだけ楽に登校できるだろうか。	The trip would be so much easier if I could just level them all.	如果能把这些山都劈开，上学不知会轻松多少啊。		equal-segment	same-scene-sequence
SEEN0414	59	pc-safe	直線距離を取れば、２０分ぐらいは短縮できそうだった。	If I were able to go in a straight line, I'd probably save myself twenty minutes.	走直线距离的话，至少会节省２０分钟。		equal-segment	same-scene-sequence
SEEN0414	61	pc-safe	`＊Ｂ@（一日、２０分…）	`＊Ｂ@(Twenty minutes, every day...)	`＊Ｂ@（每天，２０分钟…）		equal-segment	same-scene-sequence
SEEN0414	63	pc-safe	`＊Ｂ@（すると、一年でどれぐらい、俺は時間を得することになるんだ…）	`＊Ｂ@(How much time would that save me a year...?)	`＊Ｂ@（那样的话，一年下来，我可以节省多少时间啊…）		equal-segment	same-scene-sequence
SEEN0414	65	pc-safe	計算しながら、歩く。	I try to do the math in my head as I walk.	一边计算着，一边赶路。		equal-segment	same-scene-sequence
SEEN0414	68	pc-safe	`＊Ｂ@（ああ、よくわかんねぇ…）	`＊Ｂ@(Argh, I can't figure it out...)	`＊Ｂ@（啊…　算不清了…）		equal-segment	same-scene-sequence
SEEN0414	92	pc-safe	辺りに同校の生徒の姿はない。	I don't see any other students from my school around.	周围看不到同校的学生。		equal-segment	same-scene-sequence
SEEN0414	94	pc-safe	学校に続く大通りだから、本来、生徒で賑わっているはずだった。	This is the main street to school too. Normally there are students everywhere.	通往学校的是一条大路，本来应该有很多学生而显得相当热闹才对。		equal-segment	same-scene-sequence
SEEN0414	96	pc-safe	今日が、休日というわけでもない。	Today isn't a vacation day or anything like that either.	而且今天也不是什么假日。		equal-segment	same-scene-sequence
SEEN0414	98	pc-safe	つまりは…生徒が登校すべき時間ではない、ということ。	So I guess that means... I'm late. Responsible students don't just stroll into school at this hour of the day, after all.	也就是说…现在不是学生赶往学校的时间。		equal-segment	same-scene-sequence
SEEN0414	100	pc-safe	けど、そんな閑散とした光景を目の当たりにしても俺は焦ることなく、悠長に歩き続けた。	Still, I continue walking at a leisurely pace, unfazed by my realization and the deserted scene before me.	可是，就算看到这幅闲散的光景，我也一点都不着急，继续闲庭信步。		equal-segment	same-scene-sequence
SEEN0414	103	pc-safe	………。	......	………。			nonverbal-preserved
SEEN0414	123	pc-safe	校門まで残り２００メートル。	Two hundred meters left to the school gates.	距离校门还有２００米。		equal-segment	same-scene-sequence
SEEN0414	125	pc-safe	一度立ち尽くす。	I stand still for a moment.	我停下了脚步。		equal-segment	same-scene-sequence
SEEN0414	127	pc-safe	`＊Ｂ@「はぁ」	`＊Ｂ@*Sigh*	`＊Ｂ@「唉…」		equal-segment	same-scene-sequence
SEEN0414	129	pc-safe	ため息と共に空を仰ぐ。	I exhale dejectedly while gazing up at the sky.	叹着气抬头仰望。		equal-segment	same-scene-sequence
SEEN0414	138	pc-safe	その先に校門はあった。	There stand the school gates, all the way up the ridge.	校门就在视线前方。		equal-segment	same-scene-sequence
SEEN0414	142	pc-safe	誰が好んで、あんな場所に校門を据えたのか。	Whose idea was it to put a school at the top of a giant slope, anyway?	到底是谁把校门建在了那种地方。		equal-segment	same-scene-sequence
SEEN0414	144	pc-safe	長い坂道が、悪夢のように延びていた。	The hill goes on like a never-ending nightmare.	长长的坡道，噩梦般地向上延伸。		equal-segment	same-scene-sequence
SEEN0414	146	pc-safe	`声@「はぁ」	`Voice@*Sigh*	`声音@「唉…」		equal-segment	same-scene-sequence
SEEN0414	148	pc-safe	別のため息。俺のよりかは小さく、短かった。	There's another sigh, but one much smaller and shorter than mine.	那是另一个人的叹息声。相比我的而言，显得微弱而短促。		equal-segment	same-scene-sequence
SEEN0414	150	pc-safe	隣を見てみる。	I look to my right.	我看了看旁边。		equal-segment	same-scene-sequence
SEEN0414	180	pc-safe	そこに同じように立ち尽くす女生徒がいた。	A girl is standing there, just as still as me.	那里有个女生，和我一样呆呆地站着。		equal-segment	same-scene-sequence
SEEN0414	182	pc-safe	校章の色から、同じ三年生だとわかる。	I can tell from the color of the school insignia on her uniform that she's also a third-year student.	看校徽的颜色，可以知道她也是三年级。		equal-segment	same-scene-sequence
SEEN0414	184	pc-safe	けど、見慣れない顔だった。	But she isn't someone familiar to me.	不过，是一张陌生的面孔。		equal-segment	same-scene-sequence
SEEN0414	186	pc-safe	短い髪が、肩のすぐ上で風にそよいでいる。	Her short hair, that comes to just above her shoulders, flutters in the wind.	披肩的短发，随着微风轻轻飘舞。		equal-segment	same-scene-sequence
SEEN0414	188	pc-safe	`女の子@「………」	`Girl@...	`女孩@「………」		anchor	same-scene-sequence
SEEN0414	190	pc-safe	今にも泣きだしそうな顔だった。	She seems to be on the verge of tears.	看她的表情，像是快要哭出来的样子。		equal-segment	same-scene-sequence
SEEN0414	192	pc-safe	俺なんかは常習犯だったからなんとも思わないが、真面目な奴なのだろう…	As a repeat offender of late-arrivals, I'm not bothered one bit. She, on the other hand, seems far more concerned...	我已经是迟到惯犯了，所以对此毫不在乎。但她也许是个比较认真的人…		equal-segment	same-scene-sequence
SEEN0414	195	pc-safe	この時間にひとり教室に入っていくことに抵抗があるのだ。	The idea of getting to class this late must be pretty upsetting to her.	这种时间一个人走进教室应该会感到很难堪吧。		equal-segment	same-scene-sequence
SEEN0414	213	pc-safe	`女の子@「うんうん…」	`Girl@Yeah, uh-huh...	`女孩@「嗯…嗯…」		equal-segment	same-scene-sequence
SEEN0414	215	pc-safe	何かを自分に言い聞かせるように、目を瞑って、こくこくと頷いている。	She's nodding her head up and down with her eyes closed, as if telling herself something.	仿佛在自言自语一般，闭上眼睛频频点头。		equal-segment	same-scene-sequence
SEEN0414	217	pc-safe	`女の子@「………」	`Girl@...	`女孩@「………」		equal-segment	same-scene-sequence
SEEN0414	219	pc-safe	そして少女は目を見開く。	Then, she opens them.	之后少女睁开了眼睛。		equal-segment	same-scene-sequence
SEEN0414	222	pc-safe	じっと、高みにある校門を見つめた。	She stares up at the school gates.	目不转睛地凝视着高处的校门。		equal-segment	same-scene-sequence
SEEN0414	240	pc-safe	`女の子@「この学校は、好きですか」	`Girl@Do you like this school?	`女孩@「你喜欢这所学校吗」		equal-segment	same-scene-sequence
SEEN0414	242	pc-safe	`＊Ｂ@「え…？」	`＊Ｂ@Huh...?	`＊Ｂ@「哎…？」		equal-segment	same-scene-sequence
SEEN0414	244	pc-safe	いや、俺に訊いているのではなかった。	Oh, she's not asking me.	不对，她应该不是在问我。		equal-segment	same-scene-sequence
SEEN0414	246	pc-safe	妄想の中の誰かに問いかけているのだ。	She's talking to somebody else; someone in her head, I guess.	而是在问着想象中的某个人。		equal-segment	same-scene-sequence
SEEN0414	248	pc-safe	その彼（あるいは彼女）は、どう答えたのだろうか。	I wonder how he (or perhaps she) replied?	不知道他（或是她）会怎样回答呢。		equal-segment	same-scene-sequence
SEEN0414	250	pc-safe	`女の子@「わたしはとってもとっても好きです」	`Girl@I really, really like it.	`女孩@「我非常非常地喜欢这里」		anchor	same-scene-sequence
SEEN0414	252	pc-safe	`女の子@「でも、なにもかも…変わらずにはいられないです」	`Girl@But... I know that sooner or later, everything changes.	`女孩@「但是，所有这一切…都在改变着」		anchor	same-scene-sequence
SEEN0414	254	pc-safe	`女の子@「楽しいこととか、うれしいこととか、ぜんぶ」	`Girl@The fun things, the happy things... All of it.	`女孩@「不管是多么愉快的事，还是多么开心的事，所有这一切」		anchor	same-scene-sequence
SEEN0414	256	pc-safe	`女の子@「ぜんぶ、変わらずにはいられないです」	`Girl@Nothing can stay the same forever.	`女孩@「所有这一切，都在不断地改变着」		anchor	same-scene-sequence
SEEN0414	258	pc-safe	たどたどしく話し続ける。	She continues to talk to herself awkwardly.	她有些笨拙地这样说着。		equal-segment	same-scene-sequence
SEEN0414	260	pc-safe	`女の子@「それでも、この場所が好きでいられますか」	`Girl@Even if things change, will I still be able to enjoy it here?	`女孩@「即使这样，你还会永远喜欢这里吗」		anchor	same-scene-sequence
SEEN0414	262	pc-safe	………。	......	………。			nonverbal-preserved
SEEN0414	264	pc-safe	`女の子@「わたしは…」	`Girl@I...	`女孩@「我…」		equal-segment	same-scene-sequence
SEEN0414	267	pc-safe	`＊Ｂ@「見つければいいだけだろ」	`＊Ｂ@You just have to find more, that's it.	`＊Ｂ@「只要能找到不就行了吗」		equal-segment	same-scene-sequence
SEEN0414	285	pc-safe	`女の子@「えっ…？」	`Girl@Huh...?	`女孩@「咦…？」		equal-segment	same-scene-sequence
SEEN0414	287	pc-safe	少女が驚いて、俺の顔を見る。	The girl looks at me, surprised.	少女有些吃惊地看着我。		equal-segment	same-scene-sequence
SEEN0414	289	pc-safe	まるで、今まで誰もいないと信じていたかのようにだ。	It's almost as if she thought she was alone this whole time.	看来，她好像根本没料到会有人来。		equal-segment	same-scene-sequence
SEEN0414	291	pc-safe	`＊Ｂ@「次の楽しいこととか、うれしいことを見つければいいだけだろ」	`＊Ｂ@Then you just have to find more things that are fun, more things that make you happy. That's all.	`＊Ｂ@「只要能找到下一件愉快的事、开心的事不就行了吗」		equal-segment	same-scene-sequence
SEEN0414	293	pc-safe	`＊Ｂ@「あんたの楽しいことや、うれしいことはひとつだけなのか？　違うだろ」	`＊Ｂ@That can't be too hard, right?	`＊Ｂ@「你的愉快的事、开心的事难道只有一件吗？恐怕不是吧」		equal-segment	same-scene-sequence
SEEN0414	296	pc-safe	`女の子@「………」	`Girl@...	`女孩@「………」		anchor	same-scene-sequence
SEEN0414	314	pc-safe	そう。	The expression on her face... Ah, yes...	是啊。		equal-segment	same-scene-sequence
SEEN0414	316	pc-safe	何も知らなかった無垢な頃。	I remember those days ― what it felt like to be naive, simple.	无知而又纯洁的岁月。		equal-segment	same-scene-sequence
SEEN0414	319	pc-safe	誰にでもある。	That's something we've all experienced.	是任何人都曾拥有的。		equal-segment	same-scene-sequence
SEEN0414	338	pc-safe	`＊Ｂ@「ほら、いこうぜ」	`＊Ｂ@C'mon, let's go.	`＊Ｂ@「喂，我们走吧」		equal-segment	same-scene-sequence
SEEN0414	476	pc-safe	`教師@「$[春原$/すのはら$]」	`Teacher@Sunohara!	`教师@「春原」	$[春原$/すのはら$]	equal-segment	same-scene-sequence
SEEN0414	478	pc-safe	教師があるひとりの生徒の名を口にした。	The teacher calls a student's name.	老师点到了一个学生的名字。		equal-segment	same-scene-sequence
SEEN0414	480	pc-safe	`教師@「相変わらずいないのか」	`Teacher@Absent as usual?	`教师@「果然还没来啊」		anchor	same-scene-sequence
SEEN0414	482	pc-safe	隣を見る。そこが春原の席だった。	I look to my side where Sunohara's desk sits empty.	看了看旁边，那里是春原的座位。		equal-segment	same-scene-sequence
SEEN0414	484	pc-safe	こいつの遅刻率は俺より高い。	His attendance rate is even worse than mine.	这家伙的迟到率比我还高。		equal-segment	same-scene-sequence
SEEN0414	486	pc-safe	ふたり合わせてクラスの不良生徒として名指しされることが多かった。	You see, the two of us are often labeled as the ❝delinquents❞ at school.	我俩经常被并称为班里的两大不良学生。		equal-segment	same-scene-sequence
SEEN0414	488	pc-safe	だからだろう、よく気が合う。	But that's probably why we get along so well.	可能也就是这个原因，使我们很合得来。		equal-segment	same-scene-sequence
SEEN0414	490	pc-safe	そして、クラスの中で、唯一俺が心を許して話すことのできる人間だった。	He's really the only person in class I can have an honest conversation with.	而且，他是我在班里唯一能够对其袒露心声的人。		equal-segment	same-scene-sequence
SEEN0414	492	pc-safe	授業が始まる。	Nevertheless, today's classes begin.	开始上课了。		equal-segment	same-scene-sequence
SEEN0414	494	pc-safe	俺は窓の外を見て過ごした。	I spend them looking out the window.	我看着窗外的风景来打发时间。		equal-segment	same-scene-sequence
