scene	code_index	zh_body
SEEN6426	1094	「那家伙变成同性恋了」
SEEN6426	1098	「同性恋。 你不知道这意味着什么吗？」
SEEN6426	1148	「当我们练习时,他不停地把汗水的手放在我脸上而不是球…」
SEEN6426	1915	…渚必须真心相信春原已经变成同性恋。
SEEN6426	2090	「…为我而战…」
SEEN6426	2555	＿＿主角：＊Ａ＊Ｂ\n$S008＿$S000女主角：古河渚\n＿尸体角色：春原阳平
SEEN6426	5322	春原回到他的宿舍。
SEEN6426	5325	现在只有我和渚.
SEEN6427	465	「格雷西亚斯」
SEEN6428	5075	「是吗？ 是的,这是什么？」
SEEN6428	5249	「你刚刚意识到…\n$w你刚刚意识到…」
SEEN6428	5581	$S081*科伦克*
SEEN6428	5771	「帮助( H)
SEEN6428	5773	*资助恐怖主义行为*
SEEN6428	5778	啊,啊,啊,啊,啊,啊,啊,啊,啊,啊,啊,啊！」
SEEN6428	5835	「疼吗？ 这么多地方都疼…」
SEEN6428	6716	春原这是在高的精神。
SEEN6428	6732	但出于某种原因,我能听到周围的姑娘们 喃喃自语,让我感到不安, 比如说,哦…
SEEN6428	7587	「对」
SEEN6428	7591	「不,就在旁边」
SEEN6428	9271	作为回应,学校在另一层建造了另一个大得多的图书馆.
SEEN6428	9273	结果,这个地方被降级到一个参考室,用于存储被认为对新图书馆不必要的书籍.
SEEN6428	10527	「不去。再见。」\n…砰。
SEEN6429	54	(我不能尝试使)春原我用过那个… )
SEEN6429	1065	这根本不像我…
SEEN6429	1067	是什么让我吐出这些话… ？
SEEN6429	1069	突然,我手掌上的温暖感觉 吸引了我的注意力
SEEN6429	1071	我举手视之.
SEEN6429	1091	感觉好像在排放一些东西
SEEN6429	1571	「嗯,她很适合工作,她喜欢工作春原到骨头」
SEEN6430	4204	而堕于朝廷.
SEEN6430	5780	而堕于朝廷.
SEEN6430	6346	「嘿,这是你的错 邀请有纪宁参加一场如此野蛮的运动」
SEEN6430	6476	「是时候我们的秘密技术…
SEEN6430	6478	吉格利枪！」
SEEN6430	7533	而堕于朝廷.
SEEN6430	8965	「额…
SEEN6430	8967	好吧,我们走」
SEEN6430	8983	「我来帮你们」
SEEN6430	11592	然后落到法庭,没有与网络有任何联系。
SEEN6430	11983	「亚克…\n$w亚克…」
SEEN6430	12733	我们仍然可以达到同样的高度。
SEEN6430	13225	我也坐不着
SEEN6430	13406	「对…」
SEEN6430	13409	「去护士室吧 在这里,我给你我的肩膀」
