scene	code_index	jp_text	en_text	zh_text	source
SEEN0414	1577	上書きで何か吹き込む$dやめておく	Record your own voice over it$dJust leave it there	录点什么上去$d算了	global-jp-exact
SEEN0414	1606	やめた。アホらし…$d適当に思いついた言葉を発する	Forget it. This is stupid...$dJust say whatever comes to mind	不玩了。太傻…$d随便说几句	global-jp-exact
SEEN0415	947	サボる$d受ける	Skip class$dSit through class	逃课$d认认真真上课	global-jp-duplicate-same-zh
SEEN0415	2212	サボる$d受ける	Skip class$dSit through class	逃课$d认认真真上课	global-jp-duplicate-same-zh
SEEN0415	3220	中庭に下りる$d放っておく	Go down to the courtyard$dDo nothing	到庭院去$d不去管她	global-jp-exact
SEEN0415	3580	もう立ち去る$dまだ話を続ける	Just leave$dKeep talking	是时候离开了$d再继续谈话	global-jp-exact
SEEN0415	4214	気になる$d気にならない	I feel concerned$dI don't feel concerned	在意$d不在意	global-jp-exact
SEEN0415	5256	話しかける$d放っておく	Talk to her$dDo nothing	向她搭话$d不去管她	global-jp-exact
SEEN0416	72	昨日の女の子のこと…$d昔のこと…	That girl from yesterday...$dMy own past...	昨天的女孩…$d过去的事情…	global-jp-exact
SEEN0416	651	行く$d行かない	Go with Sunohara$dStay	去$d不去	global-jp-duplicate-same-zh
SEEN0416	977	サボる$dやめておく	Skip class$dDon't skip	逃课$d还是算了	pc-same-scene
SEEN0416	1182	走って買いにいく$dそこまですることはない	Run to buy a sandwich$dNo reason to make that much of an effort	跑去买$d用不着那样做	global-jp-exact
SEEN0416	2607	手伝う$dひとりでやらせる	Help$dMake her do it alone	帮忙$d让她一个人做	global-jp-exact
SEEN0417	1022	ついていく$d放っておく	Follow him$dDo nothing	跟着他去$d不去管他	global-jp-duplicate-same-zh
SEEN0417	2043	ついていく$d放っておく	Follow him$dDo nothing	跟着他去$d不去管他	global-jp-duplicate-same-zh
SEEN0417	2636	サボる$dやめておく	Skip class$dStay around	逃课$d还是算了吧	pc-same-scene
SEEN0417	3948	探しに出る$d待ち続ける	Go look for her$dKeep waiting	出去找找她$d继续等下去	global-jp-exact
SEEN0417	3978	隣の教室を覗いてみる$d別の場所を探す	Look in the class next door$dCheck somewhere else	去隔壁的教室看一下$d到其它的地方去找找看	global-jp-exact
SEEN0417	4073	校内で暇を潰す$d校外で暇を潰す	Waste time inside school$dWaste time outside school	在校内闲逛$d去校外闲逛	global-jp-exact
SEEN0417	4121	寝ていく$d校外で暇を潰す	Sleep$dWaste time outside school	睡一觉$d去校外闲逛	global-jp-exact
SEEN0417	4288	話しかける$d見送る	Talk to her$dWatch as she leaves	向她搭话$d目送她离去	global-jp-exact
SEEN0418	738	図書室$d教室に戻る	The library$dReturn to the classroom	图书室$d回教室	manual-jp
SEEN0418	752	空き教室$d教室に戻る	An empty classroom$dReturn to the classroom	空教室$d回教室去	global-jp-exact
SEEN0418	766	図書室$d空き教室$d教室に戻る	The library$dAn empty classroom$dReturn to the classroom	图书室$d空教室$d回教室	manual-jp
SEEN0418	803	寝にいく$dやっぱり教室に戻る	Go sleep$dReturn to the classroom after all	到那里去睡$d还是回教室去吧	global-jp-exact
SEEN0418	1167	話しかける$d見送る	Talk to her$dWatch as she leaves	向她搭话$d目送她离去	global-jp-exact
SEEN0419	695	旧校舎へ$d真っ直ぐ帰る	Go to the old school building$dGo straight home	去旧校舍$d直接回家	global-jp-exact
SEEN0419	732	図書室へ$d部室へ$d資料室へ	To the library$dTo the club rooms$dTo the reference room	去图书室$d去社团活动室$d去资料室	manual-jp
SEEN0419	758	図書室へ$d部室へ$d帰る	To the library$dTo the club rooms$dGo home	去图书室$d去社团活动室$d回去	manual-jp
SEEN0420	168	ついていく$d無視	Follow him$dIgnore him	跟他去$d不理他	global-jp-exact
SEEN0420	505	漫画を探す$d遊んでみる	Find some manga$dTry reading the adventure book	找别的漫画看$d玩玩看	global-jp-exact
SEEN0421	94	真面目に起きていく$d遅刻していく	Wake up like a good student$dBe late	认认真真地起床上学$d迟点再去吧	global-jp-exact
SEEN0421	969	やめておく$dあくまで美佐枝さんの部屋へ	Don't go$dPersist and go to Misae-san's room	还是算了$d坚持去美佐枝的房间	manual-jp
SEEN0421	991	やめておく$dあくまで美佐枝さんの部屋へ	Don't go$dPersist and go to Misae-san's room	还是算了$d坚持去美佐枝的房间	manual-jp
SEEN0422	208	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	Say hello$dReact to finding me$dStart by introducing yourself	问候说：你好$d先摆出一副找到了我的样子$d先作自我介绍	global-jp-duplicate-same-zh
SEEN0422	1405	手伝う$d手伝わない	Help$dDon't help	帮忙$d不帮忙	global-jp-duplicate-same-zh
SEEN0422	1837	手伝う$d手伝わない	Help$dDon't help	帮忙$d不帮忙	global-jp-duplicate-same-zh
SEEN0423	374	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	Say ❝Hello.❞$dReact to finding me$dStart by introducing yourself	问候说：你好$d先摆出一副找到了我的样子$d先作自我介绍	global-jp-duplicate-same-zh
SEEN0423	578	水を口に含んでから言え$d常に語尾に『それと便座カバー』と付けろ$dいっこくどう風に言え	Say it with water in your mouth$dAlways add ❝and a toilet seat cover❞ to the end of your sentences$dSay it like Ikkokudou	嘴里先含上一口水再说$d每句话句尾都加上句『还有马桶盖』$d学一石堂那样说话	pc-same-scene
SEEN0423	939	ホームで離ればなれになる恋人のように$d命を捨てて地球を救う宇宙飛行士のように$d回想シーンだけで数巻にも及ぶ漫画のように	Act like we're lovers parting ways at a train station$dAct like an astronaut about to sacrifice himself to save Earth$dAct like a manga that spends multiple volumes on one flashback	就像在站台分别的恋人那样$d就像牺牲生命拯救了地球的宇航员那样$d就像被回想场面占掉了好几卷的漫画那样	global-jp-exact
SEEN0423	1202	ああ$d悪いが、違う	Yeah$dSorry, but no	啊$d对不起，不是	global-jp-exact
SEEN0423	1491	眠る$d気分転換	Sleep$dGo for a walk	睡觉$d转换下心情	pc-same-scene
SEEN0423	1587	呼び止める$d放っておく	Call out to it$dDo nothing	叫住她$d不管她	global-jp-duplicate-same-zh
SEEN0423	2911	代わりに出る$d出ない	Talk to her in Sunohara's place$dDon't talk to her	代春原接听$d不代他接听	global-jp-exact
SEEN0424	504	水を口に含んでから言え$d常に語尾に『それと便座カバー』と付けろ$dいっこくどう風に言え	Say it with water in your mouth$dAlways add ❝and a toilet seat cover❞ to the end of your sentences$dSay it like Ikkokudou	把水含在嘴里说话吧$d无论何时都在话尾加上『还有马桶盖』吧$d用一国堂风格说话吧	pc-same-scene
SEEN0424	2304	逃げる$d引き受ける	Run$dAccept your fate	逃掉$d受理	global-jp-exact
SEEN0424	2697	呼びとめる$d放っておく	Call out to it$dDo nothing	叫住她$d不管她	pc-same-scene
SEEN0424	3297	する$dしない	Play$dDon't play	参加$d不参加	pc-same-scene
SEEN0425	595	呼びとめる$d放っておく	Call out to it$dDo nothing	叫住她$d不管她	pc-same-scene
SEEN0425	1367	引き金を引いていた$d忠告をしていた	I pull the trigger.$dI warn her.	抠下了扳机$d提出了忠告	global-jp-exact
SEEN0425	2634	勝負はあくまで冷徹に$d可哀想だから止めてやる	All's fair in love and war$dStop him because you feel bad	比赛时要彻底地冷酷$d真可怜，去阻止春原吧	global-jp-exact
SEEN0425	3552	ふたりで学食で食べる$d春原に買いに行かせる$d食べない	Eat in the cafeteria together$dMake Sunohara go buy things$dDon't eat	两个人一起去食堂吃饭$d让春原去买饭$d不吃午饭	global-jp-exact
SEEN0425	4160	グラウンド$d体育館$d職員室	The athletic grounds$dThe gym$dThe teachers' room	操场$d体育馆$d办公室	global-jp-exact
SEEN0425	4464	グラウンド$d職員室	The athletic grounds$dThe teachers' room	操场$d办公室	global-jp-exact
SEEN0425	4684	グラウンド$d体育館	The athletic grounds$dThe gym	操场$d体育馆	global-jp-exact
SEEN0426	589	訊いてみる$d興味ない	Ask them what's wrong$dI'm not interested	问问看$d没兴趣	pc-same-scene
