scene	code_index	zh_body
SEEN6729	830	是什么让我吐出这样的话…
SEEN6729	832	突然间,我对着手掌感到温暖的感受,拉开我的注意力.
SEEN6729	834	我举手视之.
SEEN6729	854	看起来好像有东西从那里排放出来
SEEN6729	1836	* 呜呼 *
SEEN6729	1838	我转过身来看渚如此之快,我的行动从与空气的摩擦中发出声音。
SEEN6729	2326	$S063萨纳伊的面包!
SEEN6729	2666	这是…
SEEN6729	2668	太多… 要求吗?
SEEN6729	3628	不,这不是它。 我其实很开心…
SEEN6729	3630	来吧,别那么失望…
SEEN6729	4772	最终渚也许只是渚永远…
SEEN6800	1533	你个性很好 就算你上去跟人说话 我也不觉得他们会觉得很烦人
SEEN6800	1559	没错 戏剧俱乐部
SEEN6800	2310	我今早把传单放回去了
SEEN6800	3867	и琌＊Ａ.
SEEN6800	4242	工指彼林间.
SEEN6800	4247	我记得之前在某个地方…
SEEN6800	4249	没错…
SEEN6800	4251	这是工人救了我 当我被诬告 挖车盖。
SEEN6800	4634	是这样吗?
SEEN6800	6400	可恶,机动战士…
SEEN6800	6418	哦,没什么。 只是一个塑料模型。
SEEN6800	7260	渚.
SEEN6800	8892	(我只能控制自己这么久… )
SEEN6800	8994	就在我前面… 我发现渚内衣在箱子顶部
SEEN6800_1	436	и琌＊Ａ.
SEEN6800_1	470	我18岁。
SEEN6800_1	1829	继续尽力而为
SEEN6800_1	1845	因为…
SEEN6800_1	1847	我的缘故。
SEEN6800_1	2101	不如吃我们的晚餐…
SEEN6800_1	2103	然后… 用嘴喂给你?
SEEN6800_1	4729	我见到的那个女孩 刚刚宣布我没用…
SEEN6800_1	4818	身体还不错…
SEEN6800_1	5077	你当然可以告诉我!
SEEN6800_1	5536	他确实…
SEEN6800_1	6070	没有理由…
SEEN6800_1	6072	你必须…
SEEN6800_1	6083	我们该怎么办?
SEEN6800_1	6169	让我感觉比以前更快乐
SEEN6800_1	6181	渚留在原地别动
SEEN6800_1	6267	＊Ｂ你没有…
SEEN6800_1	6269	想做脏事吗?
SEEN6800_1	7161	一旦我清理干净,我开始思考。
SEEN6800_1	7163	现在怎么办?
SEEN6800_1	7165	我又不是有爱好
SEEN6800_1	7167	我不看电影,也不听音乐。 我也不运动,也不开车
SEEN6800_1	7169	当我真正想起来的时候…
SEEN6800_1	7171	(… 我真的很无聊,不是吗? )
SEEN6800_1	7173	我感到惊讶的是 世界上有个女孩 愿意爱上我
SEEN6800_1	7175	虽然找到自己的爱好也许是个好主意 但像今天这样孤独的日子是罕见的
SEEN6800_1	7177	由于这不是经常发生的事情, 即使我确实拿了个独奏爱好之类的东西, 我也不会坚持很久。
SEEN6800_1	7179	(那么我只好想出怎么熬过今天… )
SEEN6800_1	7181	那么,我该怎么做来杀死时间?
SEEN6800_1	7190	我打开电视。
SEEN6800_1	7192	当我走遍所有渠道时,我看不到任何看起来很有趣的节目.
SEEN6800_1	7194	(是的,不是在这个时候… )
SEEN6800_1	7196	屏幕上刻着女性做一个锻炼常规的画面.
SEEN6800_1	7246	P
SEEN6800_1	7252	*叹息*
SEEN6800_1	8304	阿普龙一天。
SEEN6800_1	8322	我想今天可能只是 围裙一天,当你给我做食物。
SEEN6800_1	8410	是的,对不起。 我在考虑工作,所以才退出
SEEN6800_1	8730	是的,这是芳野.
SEEN6800_1	8732	我让他接电话
SEEN6800_1	9279	在液晶显示器上…
SEEN6800_1	9281	…上面写着我们工作时间表的黑板, 旁边有统治者的擦漆管子, 以及表演的细节。
SEEN6800_1	10191	那个老头把我从公寓里拖出来
SEEN6800_1	10285	真可爱…
SEEN6800_1	10287	$S000,0我看着那个老头子跳出路前的所在,我看见一个中年男子蹲在那里,扭着一个白色的棒状物体.
SEEN6800_1	10305	接下来他把棍子伸到一边
SEEN6800_1	10307	老人跃于上.
SEEN6800_1	10309	摆! 摆! 摆!
SEEN6800_1	10311	哼! 哼! 哼!
SEEN6800_1	10313	老头只是勉强躲避攻击的顺序。
SEEN6800_1	10315	后来…
SEEN6800_1	10581	"虽然我觉得他骗我说""是"" 我不想让他说我无法保护渚过这样的事。"
