scene	code_index	jp_text	en_text	zh_text
SEEN0414	1577	上書きで何か吹き込む$dやめておく	Record your own voice over it$dJust leave it there	记录你自己的声音$d别管了
SEEN0414	1606	やめた。アホらし…$d適当に思いついた言葉を発する	Forget it. This is stupid...$dJust say whatever comes to mind	别管了 这太蠢了...$d随便你怎么说
SEEN0415	947	サボる$d受ける	Skip class$dSit through class	跳过类$d坐过课
SEEN0415	2212	サボる$d受ける	Skip class$dSit through class	跳过类$d坐过课
SEEN0415	3220	中庭に下りる$d放っておく	Go down to the courtyard$dDo nothing	下到院子里来$d无所事事
SEEN0415	3580	もう立ち去る$dまだ話を続ける	Just leave$dKeep talking	走开$d继续说
SEEN0415	4214	気になる$d気にならない	I feel concerned$dI don't feel concerned	我觉得很担心$d我不担心
SEEN0415	5256	話しかける$d放っておく	Talk to her$dDo nothing	跟她说话$d无所事事
SEEN0416	72	昨日の女の子のこと…$d昔のこと…	That girl from yesterday...$dMy own past...	昨天那个女孩...$d我的过去...
SEEN0416	651	行く$d行かない	Go with Sunohara$dStay	跟着春原$d留下来
SEEN0416	977	サボる$dやめておく	Skip class$dDon't skip	跳过类$d别跳过
SEEN0416	1182	走って買いにいく$dそこまですることはない	Run to buy a sandwich$dNo reason to make that much of an effort	跑去买三明治$d没必要这么努力
SEEN0416	2607	手伝う$dひとりでやらせる	Help$dMake her do it alone	帮助$d让她自己来
SEEN0417	1022	ついていく$d放っておく	Follow him$dDo nothing	跟着他$d无所事事
SEEN0417	2043	ついていく$d放っておく	Follow him$dDo nothing	跟着他$d无所事事
SEEN0417	2636	サボる$dやめておく	Skip class$dStay around	跳过类$d别跳过
SEEN0417	3948	探しに出る$d待ち続ける	Go look for her$dKeep waiting	去寻找她$d继续等
SEEN0417	3978	隣の教室を覗いてみる$d別の場所を探す	Look in the class next door$dCheck somewhere else	看看隔壁的课$d找别的地方
SEEN0417	4073	校内で暇を潰す$d校外で暇を潰す	Waste time inside school$dWaste time outside school	学校里的浪费时间$d校外浪费时间
SEEN0417	4121	寝ていく$d校外で暇を潰す	Sleep$dWaste time outside school	睡觉$d校外浪费时间
SEEN0417	4288	話しかける$d見送る	Talk to her$dWatch as she leaves	跟她说话$d看着她离开
SEEN0418	738	図書室$d教室に戻る	The library$dReturn to the classroom	图书馆$d回到教室来
SEEN0418	752	空き教室$d教室に戻る	An empty classroom$dReturn to the classroom	一个空教室$d回到教室来
SEEN0418	766	図書室$d空き教室$d教室に戻る	The library$dAn empty classroom$dReturn to the classroom	图书馆$d一个空教室$d回到教室来
SEEN0418	803	寝にいく$dやっぱり教室に戻る	Go sleep$dReturn to the classroom after all	睡觉$d毕竟还是回到教室
SEEN0418	1167	話しかける$d見送る	Talk to her$dWatch as she leaves	跟她说话$d看着她离开
SEEN0419	695	旧校舎へ$d真っ直ぐ帰る	Go to the old school building$dGo straight home	去旧校舍$d直接回家来
SEEN0419	732	図書室へ$d部室へ$d資料室へ	To the library$dTo the club rooms$dTo the reference room	去图书馆$d去俱乐部房间$d去参考室
SEEN0419	758	図書室へ$d部室へ$d帰る	To the library$dTo the club rooms$dGo home	去图书馆$d去俱乐部房间$d回家来吧
SEEN0420	168	ついていく$d無視	Follow him$dIgnore him	跟着他$d别理他
SEEN0420	505	漫画を探す$d遊んでみる	Find some manga$dTry reading the adventure book	找些漫画$d试看冒险书
SEEN0421	94	真面目に起きていく$d遅刻していく	Wake up like a good student$dBe late	醒来像一个好学生$d迟到了
SEEN0421	969	やめておく$dあくまで美佐枝さんの部屋へ	Don't go$dPersist and go to Misae-san's room	别走$d坚持下去美佐枝-先生的房间
SEEN0421	991	やめておく$dあくまで美佐枝さんの部屋へ	Don't go$dPersist and go to Misae-san's room	别走$d坚持下去美佐枝-先生的房间
SEEN0422	208	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	Say hello$dReact to finding me$dStart by introducing yourself	打个招呼$d找到我的反应$d从自我介绍开始
SEEN0422	1405	手伝う$d手伝わない	Help$dDon't help	帮助$d别帮
SEEN0422	1837	手伝う$d手伝わない	Help$dDon't help	帮助$d别帮
SEEN0423	374	こんにちは、と言え$d俺を見つけるリアクションから入れ$dまず自己紹介しろ	Say ❝Hello.❞$dReact to finding me$dStart by introducing yourself	打个招呼$d找到我的反应$d从自我介绍开始
SEEN0423	578	水を口に含んでから言え$d常に語尾に『それと便座カバー』と付けろ$dいっこくどう風に言え	Say it with water in your mouth$dAlways add ❝and a toilet seat cover❞ to the end of your sentences$dSay it like Ikkokudou	"嘴里说水$d总是在句尾加上""和厕所座位盖""$d像伊克库杜那样说"
SEEN0423	939	ホームで離ればなれになる恋人のように$d命を捨てて地球を救う宇宙飛行士のように$d回想シーンだけで数巻にも及ぶ漫画のように	Act like we're lovers parting ways at a train station$dAct like an astronaut about to sacrifice himself to save Earth$dAct like a manga that spends multiple volumes on one flashback	假装我们是情侣 在火车站分手$d装成一个即将牺牲自己拯救地球的宇航员$d装得像个漫画,在一次闪回上花了很多卷
SEEN0423	1202	ああ$d悪いが、違う	Yeah$dSorry, but no	对$d对不起,但不行
SEEN0423	1491	眠る$d気分転換	Sleep$dGo for a walk	睡觉$d去散个步
SEEN0423	1587	呼び止める$d放っておく	Call out to it$dDo nothing	喊出来$d无所事事
SEEN0423	2911	代わりに出る$d出ない	Talk to her in Sunohara's place$dDon't talk to her	跟她谈谈春原地点$d别跟她说话
SEEN0424	504	水を口に含んでから言え$d常に語尾に『それと便座カバー』と付けろ$dいっこくどう風に言え	Say it with water in your mouth$dAlways add ❝and a toilet seat cover❞ to the end of your sentences$dSay it like Ikkokudou	"嘴里说水$d总是在句尾加上""和厕所座位盖""$d像伊克库杜那样说"
SEEN0424	2304	逃げる$d引き受ける	Run$dAccept your fate	运行$d接受你的命运
SEEN0424	2697	呼びとめる$d放っておく	Call out to it$dDo nothing	喊出来$d无所事事
SEEN0424	3297	する$dしない	Play$dDon't play	播放$d别玩了
SEEN0425	595	呼びとめる$d放っておく	Call out to it$dDo nothing	喊出来$d无所事事
SEEN0425	1367	引き金を引いていた$d忠告をしていた	I pull the trigger.$dI warn her.	我扣动扳机。$d我警告过她
