scene	code_index	speaker_jp	speaker_zh	body_jp	en_text
SEEN5430	14558			この子を落とすのは…	Making this girl fall for me...
SEEN5430	14561			本当に…	It's going to be truly, literally...
SEEN5430	14563			命がけなのだと。	 a suicide mission.
SEEN5430	15198	春原	春原	「きっと…霊魂のほうが…	`Sunohara@I'm sure... a spirit...
SEEN5430	15200			まだ、	 still
SEEN5430	15202			優しい	 has more
SEEN5430	15204			もん…	 of a heart...
SEEN5430	15206			な…」	 than you...
SEEN5430	15510			いつか見た情景な気がする。	I feel like I have seen this scenery somewhere before.
SEEN5430	15512			俺は笑いながら思った。	The thought occurs to me as I'm laughing.
SEEN5430	15514			そして俺は、この学校が嫌いじゃなくなっていた。	Actually, there's another thing. I don't really feel like I hate this school anymore, either.
SEEN5430	15517			…誰かさんのおかげで。	...All thanks to a certain someone.
SEEN6416	442			かなり、か。	a big part, actually.
SEEN6416	863	＊Ｂ	＊Ｂ	「ダメもなにも……」	`＊Ｂ@Well yeah, kinda. I mean,
SEEN6416	865	＊Ｂ	＊Ｂ	「おまえがいなけりゃ、俺は身元が怪しい自称おまえの友達でしかないだろ」	`＊Ｂ@If you're not around to introduce me to your parents, I can't just traipse into your place; they'll think I'm just some sketchy dude calling himself  your friend.
SEEN6416	970			あいつの言ったことを行動に移せばいいのだ。	I just have to do what she told me.
SEEN6416	1242	古河・母	古河母亲	「名付けて…	`Furukawa - Mom@It's called... 
SEEN6416	1244			おせんべいパンです」	rice cracker bread!
SEEN6416	1246			まんまだった。	Exactly as advertised, I see.
SEEN6416	2091			掟。	A code. 
SEEN6416	2093			法律。	A law.❞
SEEN6416	2121			のか？	I think?
SEEN6416	2249			そう思った。	What's with this family?
SEEN6417	21			教室を出て、廊下を見渡す。	I leave the classroom and look around the hallway.
SEEN6417	24			通行人の邪魔にならないように壁にくっついて、古河が立っていた。	Furukawa is standing against the wall so that she won't get in the way of traffic.
SEEN6417	26			目が合う。	Our eyes meet.
SEEN6417	28			顔を綻ばして、とことこと寄ってきた。	Her face breaks into a smile as she trots over.
SEEN6417	58	＊Ｂ	＊Ｂ	「何が？」	`＊Ｂ@About what?
SEEN6417	225	生徒	学生	「う………	`Student@Ahh―
SEEN6417	227			うわあああぁぁぁぁぁぁぁーーーーーーーーっ…」	 AAAAAAAGH...
SEEN6417	1338	＊Ｂ	＊Ｂ	「天性のものだよ、それ」	`＊Ｂ@Partly because of just who you are at your core, you  know? How you carry yourself, your demeanor... That kind of thing.
SEEN6417	1340	＊Ｂ	＊Ｂ	「みんな、おまえのこと知ったら、みんな好きになるよ」	`＊Ｂ@I think that once people get to know you, they'll  all like you.
SEEN6417	2145	＊Ｂ	＊Ｂ	「イラストだ」	`＊Ｂ@A drawing.
SEEN6417	3052			なんだろう。	What is that she likes?
SEEN6417	3600			てんてん…。	*Dot* *Dot*
SEEN6417	4753	古河・秋生・早苗	古河・秋生・早苗	「はい」\n$w「おう」\n$w「はい」	`Furukawa & Akio & Sanae@Okay.\n$wSure.\n$wOkay.
SEEN6418	55			演劇部の説明会の日だった。	That's when the drama club information session is going to be held.
SEEN6418	265			こんな矛盾した存在が部長だと知れたら……	Can she really expect prospective club members to take her seriously?
SEEN6418	267			説明会に訪れた連中はそそくさと退散を決め込むだろう。	I mean, who wants to join a drama club with a president that can't even overcome their nerves? Talk about a blatant discrepancy.
SEEN6418	512	＊Ｂ	＊Ｂ	「なぁ…」	`＊Ｂ@Hey...
SEEN6418	514	＊Ｂ	＊Ｂ	「喋ることを決めておいたほうがいいんじゃないのか？」	`＊Ｂ@Don't you think it'd be a good idea if you decided on what you're gonna say ahead of time?
SEEN6418	676			できない。	 certainly wouldn't be able to.
SEEN6418	1135	＊Ｂ	＊Ｂ	「ストーーップ！」	`＊Ｂ@Time out!!
SEEN6418	2262			嫌な含み笑い。	He makes an unpleasant giggle.
SEEN6418	2905			嫌な含み笑い。	He makes an unpleasant giggle.
SEEN6418	3150			スポーツ推薦により、希望通りの高校に進み……	Because of my athletics, I pretty much had any and every high school open to me to choose from.
SEEN6418	3152			そしてバスケを続けるはずだった。	So the plan was to pick a good one and keep playing basketball once I got there.
SEEN6419	1469			見せてやればいいんだ。	I just have to show her.
SEEN6419	1668			クサッ」	Ew, this reeks!
SEEN6419	1743			それを知りたかっただけだ。	whether she's actually home or not.
SEEN6419	3470			顔を綻ばせて、やってくる。	She comes over to me, smiling.
SEEN6421	703			じっとしていた。	I just stay there.
SEEN6421	1072			校内を…	School... 
SEEN6421	1074			$S065占拠。	$S065occupied.
SEEN6421	1643			…何者なんだよ、俺は。	...And what am I supposed to do for her?
SEEN6421	1652	＊Ｂ	＊Ｂ	「代わりに俺が行ってくるよ」	`＊Ｂ@I'll go over there for you.
SEEN6421	1668	古河	古河	「えっ…いいんですか」	`Furukawa@What...? Are you sure?
SEEN6421	1670	＊Ｂ	＊Ｂ	「ああ、どうも、頭の固い連中みたいだしな」	`＊Ｂ@Yeah. We seem to be dealing with a bunch of hard-heads here, so it's time to fight fire with fire.
SEEN6421	1686	古河	古河	「申しわけないです…」	`Furukawa@I'm sorry...
SEEN6421	1704			俺は古河をその場に残し、生徒会室に向かう。	I leave Furukawa behind and head to the student council room.
SEEN6421	1788			男が顔を上げた。	The boy looks up.
SEEN6421	1790			なんていうか、生まれた時から生徒会やってます、というような顔だった。	He has the face of someone who looks as though he came out of the womb already in the student council.
SEEN6422	192	＊Ｂ	＊Ｂ	「こんな学校じゃあ、集まらないんじゃないかな…」	`＊Ｂ@I don't know if you could get that many signatures at this school...
SEEN6422	194	＊Ｂ	＊Ｂ	「そもそも、演劇部に入りたい奴がいなくなったから、演劇部は廃部になったんだしな」	`＊Ｂ@I mean, the drama club was disbanded because there wasn't anyone who wanted to join it in the first place, right?
SEEN6422	807	智代	智代	「おまえに…」	`Tomoyo@You...
SEEN6422	809	智代	智代	「そういう人がいるなんて…	`Tomoyo@Had someone like that...? 
SEEN6422	811			意外だったんだ…」	I never would have guessed...
SEEN6422	1859			$S081どんっ！	$S081*BAM*
SEEN6422	2761			『春原陽平』が仲間に加わりたいと申し出てきた！\nどうしますか？	❝Youhei Sunohara❞ wants to join your party!\nWhat do you do?
SEEN6422	2786	春原	春原	「って、なんで、仲間に入れるって選択肢がないんすかっ！」	`Sunohara@Hold on, there isn't even an option to let me into your group!
SEEN6422	2803			ばさり！	*Slash*
SEEN6422	2822	春原	春原	「ぎゃあああーーーーーーっ！」	`Sunohara@Aaaaaagh!!
SEEN6422	2840	春原	春原	「って、なんで、仲間に入れるって選択肢がないんすかっ！」	`Sunohara@Hold on, there isn't even an option to let me into your group!
SEEN6422	2843			しゅっ！	*Swoosh*
SEEN6422	2862	春原	春原	「僕のサイフーーーーーーっ！」	`Sunohara@My wallet!!
SEEN6422	2880	春原	春原	「って、なんで、仲間に入れるって選択肢がないんすかっ！」	`Sunohara@Hold on, there isn't even an option to let me into your group!
SEEN6422	2897			ぼっ！	*Bwoof*
SEEN6422	2913	春原	春原	「頭が燃えてるぅーーーーーッ!?」	`Sunohara@My head is on fire?!?!
SEEN6422	3090	風子	风子	「事の次第はわかりました…」	`Fuko@Fuko understands the situation...
SEEN6422	3106	風子	风子	「では風子が、あなたたちの弁護人として、生徒会と戦いましょう」	`Fuko@Then Fuko shall act as your defender and fight the student council!
SEEN6422	3128	風子	风子	「異議あり！	`Fuko@Objection!
SEEN6422	3130			　なんとなくですが」	 Fuko has a vague feeling, but...
SEEN6422	3132	風子	风子	「異議あり！	`Fuko@Objection!
SEEN6422	3134			　直感です」	 Fuko just had a hunch.
SEEN6422	3136	風子	风子	「異議あり！	`Fuko@Objection!
SEEN6422	3138			　言ってみたかっただけです」	 Fuko just wanted to try saying that.
SEEN6422	3140	風子	风子	「異議あり！	`Fuko@Objection!
SEEN6422	3142			　風子はちゃんと大人の料金で電車に乗ってますっ」	 Fuko pays for the train using adult tickets like a good girl!
SEEN6422	4822			…ＨＡＰＰＹ　ＥＮＤ	...ＨＡＰＰＹ　ＥＮＤ
SEEN6422	5200			って俺のせいか。	Oh wait, that's my fault.
SEEN6423	1255			埋め尽くされるっ!?」	in dangos!!
SEEN6424	932			同じ思いだった。	feel the same way.
SEEN6424	1659			支えてやりたかった。	and I wanted to support her.
SEEN6424	1755			と。	...❞
SEEN6425	1314	％Ａ	％Ａ	「＊Ａさん」	`％Ａ@＊Ａ-san.
SEEN6425	1317	％Ａ	％Ａ	「＊Ｂくん」	`％Ａ@＊Ｂ-kun.
SEEN6425	1326	％Ａ	％Ａ	「＊Ａさんはどうしますか」	`％Ａ@What will you do, ＊Ａ-san?
SEEN6425	1329	％Ａ	％Ａ	「＊Ｂくんはどうしますか」	`％Ａ@What will you do, ＊Ｂ-kun?
SEEN6425	1477	％Ａ	％Ａ	「春原さん、言ってました。シュートは打たなくていいって」	`％Ａ@Sunohara-san said that you don't have to shoot.
SEEN6425	1480	％Ａ	％Ａ	「それなら、＊Ａさんもできます」	`％Ａ@In that case, you'd be able to play, ＊Ａ-san.
SEEN6425	1483	％Ａ	％Ａ	「それなら、＊Ｂくんもできます」	`％Ａ@In that case, you'd be able to play, ＊Ｂ-kun.
SEEN6425	1504	％Ａ	％Ａ	「＊Ａさん、春原さんを手伝ってあげましょう」	`％Ａ@Why don't we help Sunohara-san, ＊Ａ-san?
SEEN6425	1507	％Ａ	％Ａ	「＊Ｂくん、春原さんを手伝ってあげましょう」	`％Ａ@Why don't we help Sunohara-san, ＊Ｂ-kun?
SEEN6425	1528	％Ａ	％Ａ	「＊Ａさん、＊Ａさんってば」	`％Ａ@＊Ａ-san. ＊Ａ-san!
SEEN6425	1531	％Ａ	％Ａ	「＊Ｂくん、＊Ｂくんってば」	`％Ａ@＊Ｂ-kun. ＊Ｂ-kun!
SEEN6425	1614	％Ａ	％Ａ	「いつも、すみません」	`％Ａ@I'm sorry for always making you do this.
SEEN6425	1616	＊Ｂ	＊Ｂ	「いや」	`＊Ｂ@Absolutely not!
SEEN6425	1632			ふたり、石段に座り込む。	The two of us sit on the stone steps.
SEEN6425	1648	％Ａ	％Ａ	「いただきます」	`％Ａ@Let's eat.
SEEN6425	1650	＊Ｂ	＊Ｂ	「ああ」	`＊Ｂ@Sure.
SEEN6425	1666			もぐもぐ…	*Munch* *Munch*
SEEN6425	1668			…もぐもぐ…	*Munch* *Munch* *Munch*
SEEN6425	1673			古河と肩を並べて食べる昼食。	I eat lunch by Furukawa's side.
SEEN6425	1675			とても穏やかで、落ち着く…。	It's so peaceful. I feel calm...
