scene	code_index	pc_scene	pc_select_index	jp_text	zh_text	match
SEEN0414	1577	SEEN0414	0	上書きで何か吹き込む$dやめておく	录点什么上去$d算了	global-jp-exact
SEEN0414	1606	SEEN0414	1	やめた。アホらし…$d適当に思いついた言葉を発する	不玩了。太傻…$d随便说几句	global-jp-exact
SEEN0415	947	SEEN0415	0	サボる$d受ける	逃课$d认认真真上课	global-jp-duplicate-same-zh
SEEN0415	2212	SEEN0415	0	サボる$d受ける	逃课$d认认真真上课	global-jp-duplicate-same-zh
SEEN0415	3220	SEEN0415	2	中庭に下りる$d放っておく	到庭院去$d不去管她	global-jp-exact
SEEN0415	3580	SEEN0415	3	もう立ち去る$dまだ話を続ける	是时候离开了$d再继续谈话	global-jp-exact
SEEN0415	4214	SEEN0415	4	気になる$d気にならない	在意$d不在意	global-jp-exact
SEEN0415	5256	SEEN0415	5	話しかける$d放っておく	向她搭话$d不去管她	global-jp-exact
SEEN0416	72	SEEN0416	0	昨日の女の子のこと…$d昔のこと…	昨天的女孩…$d过去的事情…	global-jp-exact
SEEN0416	651	SEEN0416	1	行く$d行かない	去$d不去	global-jp-duplicate-same-zh
SEEN0416	1182	SEEN0416	3	走って買いにいく$dそこまですることはない	跑去买$d用不着那样做	global-jp-exact
SEEN0416	2607	SEEN0416	4	手伝う$dひとりでやらせる	帮忙$d让她一个人做	global-jp-exact
SEEN0417	1022	SEEN0417	0	ついていく$d放っておく	跟着他去$d不去管他	global-jp-duplicate-same-zh
SEEN0417	2043	SEEN0417	0	ついていく$d放っておく	跟着他去$d不去管他	global-jp-duplicate-same-zh
SEEN0417	3948	SEEN0417	3	探しに出る$d待ち続ける	出去找找她$d继续等下去	global-jp-exact
SEEN0417	3978	SEEN0417	4	隣の教室を覗いてみる$d別の場所を探す	去隔壁的教室看一下$d到其它的地方去找找看	global-jp-exact
SEEN0417	4073	SEEN0417	5	校内で暇を潰す$d校外で暇を潰す	在校内闲逛$d去校外闲逛	global-jp-exact
SEEN0417	4121	SEEN0417	6	寝ていく$d校外で暇を潰す	睡一觉$d去校外闲逛	global-jp-exact
SEEN0417	4288	SEEN0417	7	話しかける$d見送る	向她搭话$d目送她离去	global-jp-exact
SEEN0418	752	SEEN0418	1	空き教室$d教室に戻る	空教室$d回教室去	global-jp-exact
SEEN0418	803	SEEN0418	3	寝にいく$dやっぱり教室に戻る	到那里去睡$d还是回教室去吧	global-jp-exact
SEEN0418	1167	SEEN0417	7	話しかける$d見送る	向她搭话$d目送她离去	global-jp-exact
SEEN0419	695	SEEN0419	0	旧校舎へ$d真っ直ぐ帰る	去旧校舍$d直接回家	global-jp-exact
SEEN0420	168	SEEN0420	0	ついていく$d無視	跟他去$d不理他	global-jp-exact
